Event Date,Event Name,Grant,Site Type,Total Trees Planted,Tree Species,Location Type,Street Address,Street Suffix,City,State,Zip,Latitude,Longitude
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
03/26/1994,Oak Ridge Elementary School,Hwy. 85,Public School,24,"Pistacia chinensis 6
Lagerstroemia X fauriei 'Tuscorora' 3
Celtis occidentalis 5
Fraxinus oxycarpa 3
Pinus canariensis 3
Prunus cerasifera 3
Quercus ilex 1
",Public School,5920 Bufkin Dr,,San Jose,CA,0,37.2406787,-121.8198687
,,,,,,,,,,,,37.2406787,-121.8198687
,,,,,,,,,,,,37.2406787,-121.8198687
,,,,,,,,,,,,37.2406787,-121.8198687
,,,,,,,,,,,,37.2406787,-121.8198687
,,,,,,,,,,,,37.2406787,-121.8198687
,,,,,,,,,,,,37.2406787,-121.8198687
,,,,,,,,,,,,37.2406787,-121.8198687
,,,,,,,,,,,,37.2406787,-121.8198687
,,,,,,,,,,,,37.2406787,-121.8198687
,,,,,,,,,,,,37.2406787,-121.8198687
,,,,,,,,,,,,37.2406787,-121.8198687
,,,,,,,,,,,,37.2406787,-121.8198687
,,,,,,,,,,,,37.2406787,-121.8198687
,,,,,,,,,,,,37.2406787,-121.8198687
,,,,,,,,,,,,37.2406787,-121.8198687
,,,,,,,,,,,,37.2406787,-121.8198687
,,,,,,,,,,,,37.2406787,-121.8198687
,,,,,,,,,,,,37.2406787,-121.8198687
,,,,,,,,,,,,37.2406787,-121.8198687
,,,,,,,,,,,,37.2406787,-121.8198687
,,,,,,,,,,,,37.2406787,-121.8198687
,,,,,,,,,,,,37.2406787,-121.8198687
,,,,,,,,,,,,37.2406787,-121.8198687
03/26/1994,Randol Elementary School,Hwy. 85 ,Public School,39,"Pistacia chinensis 8
Fraxinus oxycarpa 14
Lagerstroemia X fauriei 'Natchez' 3
Pinus canariensis 11
Quercus lobata 3
",Public School,762 Sunset Glen Dr,,San Jose,CA,95136,37.2361578,-121.848425
,,,,,,,,,,,,37.2361578,-121.848425
,,,,,,,,,,,,37.2361578,-121.848425
,,,,,,,,,,,,37.2361578,-121.848425
,,,,,,,,,,,,37.2361578,-121.848425
,,,,,,,,,,,,37.2361578,-121.848425
,,,,,,,,,,,,37.2361578,-121.848425
,,,,,,,,,,,,37.2361578,-121.848425
,,,,,,,,,,,,37.2361578,-121.848425
,,,,,,,,,,,,37.2361578,-121.848425
,,,,,,,,,,,,37.2361578,-121.848425
,,,,,,,,,,,,37.2361578,-121.848425
,,,,,,,,,,,,37.2361578,-121.848425
,,,,,,,,,,,,37.2361578,-121.848425
,,,,,,,,,,,,37.2361578,-121.848425
,,,,,,,,,,,,37.2361578,-121.848425
,,,,,,,,,,,,37.2361578,-121.848425
,,,,,,,,,,,,37.2361578,-121.848425
,,,,,,,,,,,,37.2361578,-121.848425
,,,,,,,,,,,,37.2361578,-121.848425
,,,,,,,,,,,,37.2361578,-121.848425
,,,,,,,,,,,,37.2361578,-121.848425
,,,,,,,,,,,,37.2361578,-121.848425
,,,,,,,,,,,,37.2361578,-121.848425
,,,,,,,,,,,,37.2361578,-121.848425
,,,,,,,,,,,,37.2361578,-121.848425
,,,,,,,,,,,,37.2361578,-121.848425
,,,,,,,,,,,,37.2361578,-121.848425
,,,,,,,,,,,,37.2361578,-121.848425
,,,,,,,,,,,,37.2361578,-121.848425
,,,,,,,,,,,,37.2361578,-121.848425
,,,,,,,,,,,,37.2361578,-121.848425
,,,,,,,,,,,,37.2361578,-121.848425
,,,,,,,,,,,,37.2361578,-121.848425
,,,,,,,,,,,,37.2361578,-121.848425
,,,,,,,,,,,,37.2361578,-121.848425
,,,,,,,,,,,,37.2361578,-121.848425
,,,,,,,,,,,,37.2361578,-121.848425
,,,,,,,,,,,,37.2361578,-121.848425
